#Sample Density: 11 11 11; Volume: Box: 0.5 0.5 0.5
#Frame 0
#Center: 44.02899932861328 30.897499084472656 41.738502502441406
#Basis Matrix:
# 0.9083700776100159 -0.37812313437461853 -0.1785682886838913
# -0.4135841727256775 -0.7493338584899902 -0.517152726650238
# 0.06174015253782272 0.5436190962791443 -0.8370581865310669
-0.400 -0.500 -0.100 -0.951 -0.089 -0.389
-0.400 -0.500 0.000 -1.001 -0.056 -0.331
-0.400 -0.500 0.100 -1.045 -0.028 -0.258
-0.400 -0.500 0.200 -1.082 -0.004 -0.170
-0.400 -0.500 0.300 -1.108 0.012 -0.068
-0.400 -0.500 0.400 -1.125 0.019 0.047
-0.400 -0.500 0.500 -1.127 0.015 0.175
-0.400 -0.400 -0.500 -0.715 -0.178 -0.454
-0.400 -0.400 -0.400 -0.768 -0.150 -0.448
-0.400 -0.400 -0.300 -0.820 -0.121 -0.430
-0.400 -0.400 -0.200 -0.872 -0.091 -0.401
-0.400 -0.400 -0.100 -0.920 -0.062 -0.358
-0.400 -0.400 0.000 -0.965 -0.036 -0.303
-0.400 -0.400 0.100 -1.005 -0.012 -0.235
-0.400 -0.400 0.200 -1.037 0.006 -0.153
-0.400 -0.400 0.300 -1.061 0.017 -0.059
-0.400 -0.400 0.400 -1.074 0.020 0.047
-0.400 -0.400 0.500 -1.077 0.013 0.163
-0.400 -0.300 -0.500 -0.703 -0.139 -0.430
-0.400 -0.300 -0.400 -0.751 -0.116 -0.421
-0.400 -0.300 -0.300 -0.799 -0.091 -0.403
-0.400 -0.300 -0.200 -0.846 -0.067 -0.374
-0.400 -0.300 -0.100 -0.891 -0.043 -0.333
-0.400 -0.300 0.000 -0.931 -0.021 -0.281
-0.400 -0.300 0.100 -0.966 -0.003 -0.216
-0.400 -0.300 0.200 -0.995 0.010 -0.140
-0.400 -0.300 0.300 -1.017 0.017 -0.053
-0.400 -0.300 0.400 -1.028 0.017 0.044
-0.400 -0.300 0.500 -1.030 0.007 0.149
-0.400 -0.200 -0.500 -0.688 -0.107 -0.409
-0.400 -0.200 -0.400 -0.734 -0.088 -0.399
-0.400 -0.200 -0.300 -0.778 -0.068 -0.381
-0.400 -0.200 -0.200 -0.821 -0.049 -0.352
-0.400 -0.200 -0.100 -0.861 -0.030 -0.313
-0.400 -0.200 0.000 -0.898 -0.013 -0.263
-0.400 -0.200 0.100 -0.930 0.000 -0.202
-0.400 -0.200 0.200 -0.957 0.009 -0.132
-0.400 -0.200 0.300 -0.976 0.013 -0.051
-0.400 -0.200 0.400 -0.987 0.009 0.038
-0.400 -0.200 0.500 -0.988 -0.003 0.134
-0.400 -0.100 -0.500 -0.674 -0.081 -0.393
-0.400 -0.100 -0.400 -0.716 -0.066 -0.382
-0.400 -0.100 -0.300 -0.757 -0.050 -0.363
-0.400 -0.100 -0.200 -0.797 -0.035 -0.335
-0.400 -0.100 -0.100 -0.834 -0.021 -0.297
-0.400 -0.100 0.000 -0.869 -0.009 -0.250
-0.400 -0.100 0.100 -0.898 -0.000 -0.193
-0.400 -0.100 0.200 -0.922 0.005 -0.127
-0.400 -0.100 0.300 -0.940 0.005 -0.053
-0.400 -0.100 0.400 -0.950 -0.001 0.029
-0.400 -0.100 0.500 -0.953 -0.014 0.117
-0.400 0.000 -0.500 -0.659 -0.059 -0.380
-0.400 0.000 -0.400 -0.699 -0.048 -0.369
-0.400 0.000 -0.300 -0.738 -0.037 -0.350
-0.400 0.000 -0.200 -0.775 -0.026 -0.322
-0.400 0.000 -0.100 -0.811 -0.016 -0.286
-0.400 0.000 0.000 -0.842 -0.008 -0.241
-0.400 0.000 0.100 -0.870 -0.003 -0.188
-0.400 0.000 0.200 -0.893 -0.002 -0.126
-0.400 0.000 0.300 -0.910 -0.005 -0.057
-0.400 0.000 0.400 -0.920 -0.013 0.018
-0.400 0.000 0.500 -0.923 -0.028 0.099
-0.400 0.100 -0.500 -0.645 -0.041 -0.371
